"Additional sidebar title","Zusätzlicher Seitenleisten-Titel"
"Allowed file types: png, gif, jpg, jpeg, svg.","Erlaubte Dateitypen: png, gif, jpg, jpeg, svg."
"Background color","Hintergrundfarbe"
"Background color with default text","Hintergrundfarbe mit Standardtext"
"Background image","Hintergrundbild"
"Big","Groß"
"bright","hell"
"brighter","heller"
"color","Farbe"
"Colors","Farben"
"dark","dunkel"
"darker","dunkler"
"Design Configuration","Design-konfiguration"
"Design Module","Design Modul"
"Grey","Grau"
"Headlines","Überschrift"
"Installed Themes","Installierte Themen"
"Iways Settings","i-ways Einstellungen"
"Main sidebar title","Haupt-Seitenleiste-Titel"
"Minify CSS","CSS minimieren"
"Normal","Normal"
"Primary","Primär"
"Secondary","Sekundär"
"see http://www.colorzilla.com/gradient-editor for configurable valid CSS gradient's code and presets","Siehe http://www.colorzilla.com/gradient-editor für konfigurierbaren gültigen CSS-Gradienten-Code und Presets"
"Small","Klein"
"Tertiary","Tertiär"
"Text elements","Textelemente"
"Widgets","Dingsbums"
