"Active fonts","Aktive Schriftarten"
"API-Key","API-Schlüssel"
"Credentials","Anmeldeinformationen"
"different fonts found","verschiedene fonts gefunden"
"GoogleFonts Module","GoogleFonts Modul"
"H1 font color","H1 Schriftfarbe"
"H1 font family","H1 Schriftfamilie"
"H2 font color","H2 Schriftfarbe"
"H2 font family","H2 Schriftfamilie"
"H3 font color","H3 Schriftfarbe"
"H3 font family","H3 Schriftfamilie"
"is working","funktioniert"
"Main font color","Hauptschriftfarbe"
"Main font family","Hauptschriftfamilie"
"Navigation font color","Navigations-Schriftfarbe"
"Navigation font family","Navigations-Schriftfamilie"
"Size","Größe"
"Variant","Variante"
